strategy,pair,year,chosen_params,train_sharpe,oos_return,oos_sharpe,oos_trades,oos_pf
trend_tsmom,EURJPY,2021,"{""lookback"": 480, ""z_min"": 1.0}",0.0296,-4.2e-05,-0.014333,8,0.993307
trend_tsmom,GBPUSD,2014,"{""lookback"": 120, ""z_min"": 0.5}",0.53,-0.01874,-0.644934,23,1.074234
trend_tsmom,GBPUSD,2015,"{""lookback"": 480, ""z_min"": 1.0}",0.3119,-0.016932,-1.144658,8,0.231843
trend_tsmom,GBPUSD,2016,"{""lookback"": 120, ""z_min"": 0.5}",0.379,-0.003148,-0.159901,23,0.944214
trend_tsmom,GBPUSD,2017,"{""lookback"": 480, ""z_min"": 1.0}",0.388,-0.039079,-2.178922,11,0.010197
trend_tsmom,GBPUSD,2018,"{""lookback"": 120, ""z_min"": 1.0}",0.0565,0.011039,0.424948,12,1.327883
trend_tsmom,GBPUSD,2019,"{""lookback"": 120, ""z_min"": 1.0}",0.4925,-0.017466,-0.689903,16,0.645649
trend_tsmom,GBPUSD,2020,"{""lookback"": 120, ""z_min"": 1.0}",0.3586,-0.012683,-0.772894,12,0.598164
trend_tsmom,GBPUSD,2021,"{""lookback"": 120, ""z_min"": 1.0}",0.2211,-0.019349,-0.883433,13,0.371659
trend_tsmom,AUDUSD,2014,"{""lookback"": 120, ""z_min"": 1.0}",0.297,0.010627,0.526605,11,1.51251
trend_tsmom,AUDUSD,2015,"{""lookback"": 120, ""z_min"": 1.0}",0.2433,0.000538,0.039312,9,1.032663
trend_tsmom,AUDUSD,2016,"{""lookback"": 120, ""z_min"": 0.5}",0.31,-0.010266,-0.162649,20,0.912857
trend_tsmom,AUDUSD,2017,"{""lookback"": 120, ""z_min"": 0.5}",0.1132,0.020728,0.636536,20,1.420993
trend_tsmom,AUDUSD,2018,"{""lookback"": 120, ""z_min"": 1.0}",0.2781,-0.000427,0.050584,17,0.959407
trend_tsmom,AUDUSD,2019,"{""lookback"": 120, ""z_min"": 0.5}",0.1796,0.00241,0.090318,22,0.909527
trend_tsmom,AUDUSD,2020,"{""lookback"": 120, ""z_min"": 1.0}",0.2556,-0.022467,-0.964605,15,0.533978
trend_tsmom,AUDUSD,2021,"{""lookback"": 480, ""z_min"": 0.5}",0.4296,0.024988,0.776858,18,1.503355
mr_rsi_bb,USDJPY,2014,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.2167,-0.001228,-0.016473,49,0.988859
mr_rsi_bb,USDJPY,2015,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.2558,-0.021251,-0.726527,41,0.816893
mr_rsi_bb,USDJPY,2016,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.746,-0.042928,-1.173142,44,0.64704
mr_rsi_bb,USDJPY,2017,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.5392,-0.049434,-1.772156,42,0.57228
mr_rsi_bb,USDJPY,2018,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.7907,-0.019877,-0.972646,17,0.551334
mr_rsi_bb,USDJPY,2019,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.9194,0.002231,0.112281,23,1.042774
mr_rsi_bb,USDJPY,2020,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.642,0.008866,0.418083,21,1.256291
mr_rsi_bb,USDJPY,2021,"{""bb_k"": 2.5, ""rsi_lo"": 25}",-0.0278,-0.059437,-2.291775,18,0.222018
mr_rsi_bb,EURUSD,2014,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-1.0209,-0.042983,-1.733612,26,0.406319
mr_rsi_bb,EURUSD,2015,"{""bb_k"": 2.5, ""rsi_lo"": 25}",-1.2108,-0.016046,-1.021532,8,0.530802
mr_rsi_bb,EURUSD,2016,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.3759,-0.003349,-0.072348,47,0.969006
mr_rsi_bb,EURUSD,2017,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.0352,0.018317,0.493341,67,1.137455
mr_rsi_bb,EURUSD,2018,"{""bb_k"": 2.0, ""rsi_lo"": 30}",0.209,-0.038142,-1.120436,59,0.718649
mr_rsi_bb,EURUSD,2019,"{""bb_k"": 2.0, ""rsi_lo"": 30}",0.1627,-0.051765,-1.507891,60,0.623392
mr_rsi_bb,EURUSD,2020,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.2297,0.015788,0.752546,16,1.620385
