spec_id,period,variant,cost_profile,halted_at,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,exposure_time,avg_leverage,max_leverage,psr_vs_zero,t_stat
trend_donchian_v1,FORWARD,AUDUSD,retail_jp,,2025-07-01,2026-09-25,1.23,-0.119835,-0.098212,-1.720295,-2.374726,-0.125619,0.058077,-119834.819271,-0.953954,49,0.359266,0.122449,11198.762868,-4349.474337,2.574739,-2445.608557,-0.536212,13,39.683481,74.244898,12920.376605,-5897.059051,-101017.383615,,263.681155,87.565743,0.470878,1.108025,1.771603,0.032761,-1.917421
trend_ema_adx_v1,TEST,portfolio,retail_jp,2022-12-19 16:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.058656,-0.017167,-0.210582,-0.328019,-0.152241,0.069231,-58655.920331,-0.34698,279,0.914237,0.293907,7625.253906,-3471.709343,2.196398,-210.236274,-0.04937,18,79.925294,28.37276,42417.44339,-10493.3133,-5745.163641,,152.033847,169.572609,0.215971,1.658027,4.642143,0.348223,-0.393962
trend_ema_adx_v1,TEST,portfolio_stress_2x,stress_2x,2022-11-01 21:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.078411,-0.023121,-0.317885,-0.472352,-0.150181,0.065461,-78411.336325,-0.481452,240,0.868416,0.283333,7610.179657,-3464.555541,2.196582,-326.713901,-0.078909,21,68.752941,27.120833,74665.61696,-18132.445563,14386.726198,5.189896,311.106737,152.524214,0.183983,1.673548,4.656907,0.278163,-0.594707
trend_ema_adx_v1,TEST,portfolio_ibkr,ibkr,2022-09-20 11:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.120886,-0.036236,-0.568021,-0.836978,-0.153521,0.060894,-120885.714771,-0.75819,203,0.782154,0.256158,8346.669395,-3674.917373,2.271254,-595.496132,-0.153403,16,58.153529,27.399015,129474.75212,-12480.670996,21069.708345,6.145066,637.806661,136.425061,0.156677,1.759765,4.675051,0.149029,-1.06267
trend_ema_adx_v1,TEST,USDJPY,retail_jp,,2022-01-02,2025-06-30,3.49,0.178879,0.048272,0.767215,1.380952,-0.081236,0.063941,178879.175318,1.836312,245,1.288381,0.342857,9513.888887,-3852.717337,2.469397,730.119083,0.148138,11,70.185294,31.518367,33877.5,-4982.465462,217739.14078,0.155588,138.27551,160.703405,0.354383,1.17421,2.909978,0.930964,1.435328
trend_ema_adx_v1,TEST,EURUSD,retail_jp,,2022-01-02,2025-06-30,3.49,-0.076888,-0.022658,-0.430629,-0.676841,-0.102025,0.050169,-76888.179284,-0.747106,184,0.828883,0.298913,6771.694956,-3483.189162,1.944108,-417.87054,-0.083058,12,52.710588,28.527174,23344.605175,-10562.088443,-42981.485665,,126.872854,140.850588,0.24089,1.27579,2.937695,0.214968,-0.805634
trend_ema_adx_v1,TEST,EURJPY,retail_jp,2025-04-22 18:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.149051,-0.045184,-0.834815,-1.24938,-0.150479,0.053524,-149050.699023,-0.98885,245,0.729342,0.297959,5502.016618,-3201.732047,1.71845,-608.3702,-0.143568,12,70.185294,28.853061,39953.5,-10020.035601,-99077.163422,,163.07551,155.010293,0.324476,1.087072,2.645102,0.063985,-1.561795
trend_ema_adx_v1,TEST,GBPUSD,retail_jp,,2022-01-02,2025-06-30,3.49,-0.056224,-0.01644,-0.342665,-0.573893,-0.109103,0.045274,-56223.587118,-0.50985,153,0.841863,0.333333,5868.894206,-3485.658741,1.683726,-367.474426,-0.075752,7,43.83,27.627451,30395.259128,-8086.80689,-17741.521101,,198.661824,116.011018,0.194006,1.269819,2.895561,0.266705,-0.641068
trend_ema_adx_v1,TEST,AUDUSD,retail_jp,2024-06-24 07:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.100578,-0.02991,-0.703542,-1.054144,-0.15002,0.041397,-100578.4775,-0.633579,146,0.71956,0.308219,5734.831024,-3550.949243,1.615014,-688.893682,-0.149886,9,41.824706,30.09589,37658.88465,-5797.79439,-57121.79846,,257.937566,80.884953,0.201661,0.912352,1.819047,0.099879,-1.316206
trend_ema_adx_v1,FORWARD,portfolio,retail_jp,2026-07-14 07:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.034601,-0.028116,-0.178766,-0.297683,-0.150124,0.119185,-34600.987008,-0.202903,303,0.949725,0.30363,7104.64033,-3261.743589,2.178173,-114.194677,0.00738,10,245.38969,31.250825,64506.102203,-10926.105514,40831.220709,1.579823,212.891426,734.763693,0.685607,2.50037,5.007994,0.421706,-0.199251
trend_ema_adx_v1,FORWARD,portfolio_stress_2x,stress_2x,2026-06-05 12:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.106545,-0.087201,-0.755631,-1.214595,-0.150521,0.111797,-106545.389371,-0.673002,275,0.831163,0.287273,6639.351478,-3219.664062,2.062126,-387.43778,-0.069013,10,222.713415,29.701818,132833.06205,-26868.163145,53155.835824,2.498937,483.029317,656.02942,0.606523,2.432981,5.030962,0.208085,-0.842218
trend_ema_adx_v1,FORWARD,portfolio_ibkr,ibkr,2026-05-10 21:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.133035,-0.109181,-0.944081,-1.453117,-0.158746,0.114772,-133035.326105,-0.813184,244,0.785936,0.307377,6512.54208,-3677.372675,1.770977,-545.226746,-0.13438,11,197.607539,32.372951,187663.696138,-17847.11611,72475.486143,2.58934,769.113509,578.002079,0.566917,2.482694,5.023655,0.155318,-1.052262
trend_ema_adx_v1,FORWARD,USDJPY,retail_jp,,2025-07-01,2026-09-25,1.23,-0.001863,-0.001509,0.005036,0.008438,-0.063145,0.060288,-1863.48042,-0.028117,87,0.991048,0.321839,7367.802253,-3528.168534,2.08828,-21.419315,0.008307,9,70.458426,30.54023,13878.0,-959.2882,12973.807781,1.069694,159.517241,233.08856,0.343904,1.574032,2.910066,0.502236,0.005613
trend_ema_adx_v1,FORWARD,EURUSD,retail_jp,,2025-07-01,2026-09-25,1.23,-0.027389,-0.02224,-0.390659,-0.623559,-0.068397,0.05357,-27389.022931,-0.383561,70,0.840167,0.328571,6259.634202,-3645.970416,1.716864,-391.271756,-0.076115,8,56.690687,30.0,12340.667935,-4189.469402,-10858.885594,,176.295256,210.126584,0.271809,1.744847,2.778211,0.334931,-0.435424
trend_ema_adx_v1,FORWARD,EURJPY,retail_jp,,2025-07-01,2026-09-25,1.23,-0.017616,-0.014291,-0.161137,-0.286375,-0.110306,0.072629,-17616.15419,-0.152091,99,0.925856,0.292929,7585.412972,-3394.187577,2.234824,-177.940951,-0.03738,18,80.176829,28.888889,23463.0,-3562.53024,9409.37605,2.493577,237.0,304.101395,0.370179,1.802952,2.968423,0.430064,-0.179601
