candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""none"", ""sizing"": ""vol_target""}",230,-0.214797,-0.090645,0.876129,-0.433766,,98,-0.085836,-0.065285,0.954827,-0.319501,0.159198,67,-0.190981,-0.408912,0.632286,-0.305433,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""none"", ""sizing"": ""fixed_notional""}",217,-0.524992,-0.218647,0.737025,-0.57032,,97,-0.268136,-0.220399,0.818628,-0.443489,,57,-0.245733,-0.377374,0.639133,-0.370042,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""trend_only"", ""sizing"": ""risk_stop""}",218,0.046832,0.099092,1.090782,-0.14388,0.078086,95,0.057131,0.213253,1.331854,-0.114211,0.033538,59,-0.03372,-0.251971,0.78075,-0.096688,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""trend_only"", ""sizing"": ""vol_target""}",217,-0.072007,0.00458,0.956523,-0.313631,0.230011,94,-0.056646,-0.030163,0.989052,-0.268918,0.118752,59,-0.044517,-0.060709,0.918589,-0.264371,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""trend_only"", ""sizing"": ""fixed_notional""}",211,-0.441845,-0.162907,0.777306,-0.504172,,95,-0.225744,-0.177603,0.854164,-0.400619,,54,-0.179891,-0.264634,0.721641,-0.364594,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",202,0.037158,0.085212,1.079692,-0.165225,0.094096,87,0.072078,0.269888,1.458419,-0.11153,0.027983,60,-0.075059,-0.673243,0.506074,-0.109798,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""vol_target""}",203,-0.120172,-0.037652,0.923818,-0.386704,0.616837,86,-0.016622,0.02163,1.055515,-0.272302,0.082968,61,-0.203355,-0.56242,0.57249,-0.312773,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""no_high_vol"", ""sizing"": ""fixed_notional""}",195,-0.421664,-0.165512,0.785236,-0.51319,,86,-0.13887,-0.089027,0.945689,-0.353683,0.204773,54,-0.299886,-0.529451,0.536972,-0.424656,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""none"", ""sizing"": ""risk_stop""}",134,0.047869,0.098715,1.125377,-0.155093,0.050673,63,0.006,0.038973,1.103587,-0.148544,0.043278,38,0.015438,0.095935,0.891384,-0.106934,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""none"", ""sizing"": ""vol_target""}",138,-0.121453,-0.022016,0.909414,-0.3633,0.584821,63,-0.154941,-0.163933,0.796755,-0.357372,,40,-0.025624,-0.011457,0.709211,-0.302861,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""none"", ""sizing"": ""fixed_notional""}",132,-0.352734,-0.098668,0.777839,-0.465134,,61,-0.181393,-0.111407,0.834967,-0.399506,,37,-0.073204,-0.058969,0.678584,-0.330743,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""trend_only"", ""sizing"": ""risk_stop""}",130,0.049644,0.103024,1.132994,-0.149513,0.049952,60,0.014249,0.068053,1.157826,-0.145666,0.035136,36,0.019209,0.121766,0.921333,-0.103427,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""trend_only"", ""sizing"": ""vol_target""}",131,-0.095935,-0.007932,0.925865,-0.350889,0.374698,60,-0.137532,-0.138387,0.820561,-0.350889,,36,-0.00348,0.028861,0.744893,-0.282688,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""trend_only"", ""sizing"": ""fixed_notional""}",124,-0.248652,-0.044396,0.840083,-0.493905,,58,-0.111811,-0.036299,1.183388,-0.431026,0.037851,31,0.082587,0.177862,0.559151,-0.328084,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",117,0.053798,0.113469,1.160416,-0.136656,0.046835,52,0.024817,0.108395,1.255285,-0.132093,0.028077,34,0.00499,0.034596,0.780032,-0.104356,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""no_high_vol"", ""sizing"": ""vol_target""}",120,-0.017087,0.038388,0.985663,-0.325692,0.14548,52,-0.084803,-0.073782,0.922389,-0.325692,0.178825,35,0.029333,0.093104,0.801565,-0.305371,
v2_d1_donchian,True,"{""n"": 100, ""regime"": ""no_high_vol"", ""sizing"": ""fixed_notional""}",113,-0.182726,-0.013189,0.878471,-0.43309,,49,-0.097115,-0.036863,0.935532,-0.355715,0.130114,32,0.029488,0.098334,0.859392,-0.328249,
v2_d1_tsmom,True,"{""lookback"": 63, ""sizing"": ""risk_stop""}",373,0.023492,0.062135,1.048501,-0.098628,0.126513,173,0.021336,0.107969,1.129922,-0.098628,0.071104,96,0.000348,0.008969,1.001354,-0.079511,0.385249
v2_d1_tsmom,True,"{""lookback"": 63, ""sizing"": ""vol_target""}",373,0.111889,0.112909,1.043922,-0.379911,0.12887,177,-0.054031,0.005315,1.001808,-0.379911,0.127186,102,-0.019285,0.022672,0.968858,-0.318004,0.559417
v2_d1_tsmom,True,"{""lookback"": 63, ""sizing"": ""fixed_notional""}",375,-0.142632,0.042107,0.958582,-0.545566,0.25203,177,-0.371693,-0.253619,0.781265,-0.522268,,113,-0.071225,-0.005335,0.92146,-0.368232,
v2_d1_tsmom,True,"{""lookback"": 126, ""sizing"": ""risk_stop""}",254,0.04696,0.100544,1.111892,-0.17806,0.081849,102,0.084183,0.329961,2.161304,-0.086827,0.015503,90,-0.054131,-0.316619,0.231336,-0.17806,
v2_d1_tsmom,True,"{""lookback"": 126, ""sizing"": ""vol_target""}",271,-0.147214,-0.017415,0.93208,-0.53766,0.291329,107,0.254761,0.287975,1.638717,-0.283618,0.024822,101,-0.35903,-0.759615,0.247461,-0.53766,
v2_d1_tsmom,True,"{""lookback"": 126, ""sizing"": ""fixed_notional""}",262,-0.543894,-0.167057,0.783539,-0.695013,,106,0.00535,0.086118,1.145522,-0.453576,0.058677,94,-0.531785,-0.923222,0.218079,-0.616255,
v2_d1_tsmom,True,"{""lookback"": 252, ""sizing"": ""risk_stop""}",185,0.107269,0.195349,1.352163,-0.105651,0.03775,89,-0.009747,-0.026469,1.744174,-0.093494,0.023073,54,0.058693,0.28516,0.736538,-0.105651,
v2_d1_tsmom,True,"{""lookback"": 252, ""sizing"": ""vol_target""}",188,0.33451,0.199374,1.227936,-0.334933,0.058923,93,-0.101858,-0.052397,1.565144,-0.334933,0.029828,49,0.204932,0.334816,0.648598,-0.278727,
v2_d1_tsmom,True,"{""lookback"": 252, ""sizing"": ""fixed_notional""}",189,-0.245161,-0.017535,0.855028,-0.442169,1.465306,94,-0.172579,-0.068748,1.294616,-0.425337,0.048295,52,-0.016433,0.050127,0.44721,-0.352658,
v2_h4_ema,True,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""none""}",1763,0.098405,0.130024,1.033668,-0.160077,0.414362,887,0.098292,0.237489,1.066029,-0.104066,0.310815,492,-0.024112,-0.032833,0.976287,-0.160077,0.920395
v2_h4_ema,True,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",1164,0.115908,0.171461,1.056173,-0.140799,0.333186,580,0.076809,0.228443,1.075213,-0.103298,0.288087,316,-0.032031,-0.12002,0.945056,-0.12605,1.943679
v2_h4_ema,True,"{""adx_min"": 0, ""fast_slow"": ""20_100"", ""regime"": ""no_high_vol""}",1558,0.001525,0.027035,1.000609,-0.162663,0.591623,794,0.019962,0.07324,1.012182,-0.108607,0.489986,417,-0.022891,-0.037379,0.974361,-0.146362,0.982908
v2_h4_ema,True,"{""adx_min"": 20, ""fast_slow"": ""20_100"", ""regime"": ""none""}",1164,0.115908,0.171461,1.056173,-0.140799,0.333186,580,0.076809,0.228443,1.075213,-0.103298,0.288087,316,-0.032031,-0.12002,0.945056,-0.12605,1.943679
v2_h4_ema,True,"{""adx_min"": 20, ""fast_slow"": ""20_100"", ""regime"": ""trend_only""}",1164,0.115908,0.171461,1.056173,-0.140799,0.333186,580,0.076809,0.228443,1.075213,-0.103298,0.288087,316,-0.032031,-0.12002,0.945056,-0.12605,1.943679
v2_h4_ema,True,"{""adx_min"": 20, ""fast_slow"": ""20_100"", ""regime"": ""no_high_vol""}",1010,0.008103,0.032091,1.004667,-0.143999,0.542744,508,-0.024265,-0.053641,0.967668,-0.128855,0.897518,264,-0.011374,-0.021436,0.982532,-0.096046,0.765178
v2_h4_ema,True,"{""adx_min"": 0, ""fast_slow"": ""50_200"", ""regime"": ""none""}",796,-0.122404,-0.212155,0.901175,-0.196134,,412,-0.073756,-0.249099,0.876618,-0.141646,,192,-0.06849,-0.417905,0.795047,-0.096371,
v2_h4_ema,True,"{""adx_min"": 0, ""fast_slow"": ""50_200"", ""regime"": ""trend_only""}",627,-0.104407,-0.2005,0.897466,-0.178602,,332,-0.04301,-0.151891,0.9104,-0.11491,,147,-0.077603,-0.581016,0.702396,-0.103394,
v2_h4_ema,True,"{""adx_min"": 0, ""fast_slow"": ""50_200"", ""regime"": ""no_high_vol""}",715,-0.138476,-0.26039,0.878014,-0.211793,,386,-0.082544,-0.295999,0.855553,-0.152227,,156,-0.070058,-0.473892,0.754052,-0.101663,
v2_h4_ema,True,"{""adx_min"": 20, ""fast_slow"": ""50_200"", ""regime"": ""none""}",627,-0.104407,-0.2005,0.897466,-0.178602,,332,-0.04301,-0.151891,0.9104,-0.11491,,147,-0.077603,-0.581016,0.702396,-0.103394,
v2_h4_ema,True,"{""adx_min"": 20, ""fast_slow"": ""50_200"", ""regime"": ""trend_only""}",627,-0.104407,-0.2005,0.897466,-0.178602,,332,-0.04301,-0.151891,0.9104,-0.11491,,147,-0.077603,-0.581016,0.702396,-0.103394,
v2_h4_ema,True,"{""adx_min"": 20, ""fast_slow"": ""50_200"", ""regime"": ""no_high_vol""}",561,-0.107704,-0.219815,0.88478,-0.177875,,307,-0.055832,-0.215563,0.879814,-0.127815,,117,-0.06214,-0.489603,0.727494,-0.090512,
v2_trend_carry,True,"{""mode"": ""agree"", ""sizing"": ""risk_stop""}",84,-0.050354,-0.214866,0.618889,-0.066965,,40,-0.020803,-0.20121,0.877068,-0.04292,,35,-0.030458,-0.334172,0.366012,-0.066965,
